"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"diffexpressed"
"DNAH17"	428.362967395632	2.18498436698571	0.613476278317598	3.56164442572715	0.000368539285992062	0.0385460590427125	"UP"
"DNAJC22"	39.1916928650582	1.98439023448524	0.564117807676128	3.51768763099306	0.000435324471192234	0.0406901929139087	"UP"
"DOHH"	568.135312484871	0.951073050748044	0.244741777817165	3.88602656739114	0.000101898359821344	0.0282229265553034	"UP"
"DPH5"	101.138952251612	0.422961580998118	0.12304994758167	3.43731622248267	0.000587509257388268	0.0433860326600524	"UP"
"DPYSL5"	1382.73641982965	0.95163890762317	0.271431388064948	3.50600169865197	0.000454892316822948	0.0406901929139087	"UP"
"DYNC1I2"	1140.8545174251	0.995071935512815	0.263449643150394	3.77708591142317	0.000158674010198499	0.0296695317714326	"UP"
"EDIL3"	3907.44210990469	2.13339735258287	0.462884844406793	4.60891597199929	4.04773869730232e-06	0.00932334173568624	"UP"
"EFHD1"	2452.11870125208	1.90321571897319	0.488263388716149	3.89792837832374	9.7019099333762e-05	0.0282229265553034	"UP"
"ELL2"	960.969585443805	0.652558770412309	0.192177700598037	3.39560088595927	0.000684781323955059	0.0448857383670254	"UP"
"ELOVL1"	762.906545944758	2.07262612429392	0.498320104077334	4.15922638347393	3.19327290360988e-05	0.0181577480481517	"UP"
"EMC7"	259.594262398478	0.547533984286821	0.151623250047996	3.61114792166439	0.000304844720514489	0.0370785730914549	"UP"
"EML1"	532.362749235389	0.996569879157061	0.26667162854351	3.73706751108118	0.000186178947585953	0.0324294008088962	"UP"
"EN2"	5.15273991429468	2.59218221858315	0.680460404752181	3.80945342371126	0.000139274339146301	0.0296695317714326	"UP"
"ENDOD1"	1964.80658003905	1.32008349308182	0.356859213238	3.69917167362419	0.000216304259753769	0.0341655582506909	"UP"
"ENHO"	1053.73009739209	-0.936048033244745	0.229759866319048	-4.07402758471722	4.62070049764174e-05	0.0203049554509181	"DOWN"
